ticker,close,open,high,low,volume,change_%,value_traded,pe,pb,roe,roa,op_margin,net_margin,debt_to_equity,rev_growth,rvol,hhi_score,foreign_ratio,tarih,growth_discount,margin_power,sweep_ratio,vol_z,quant_score,regime,score_diff
GARAN,130.4,133.9,134.0,130.2,29479898.0,-2.5411061285500787,3844178699.2000003,4.551912396630747,1.1253875963472888,27.6614090398923,2.6443100795793,24.954173196271217,23.833905476675625,99.0,0.0,0.8296624746042767,2237.08,5.05,2026-08-31,24.58,,5.0,-0.32,80.0,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),80.0
RYSAS,28.36,27.1,28.52,26.9,27159233.0,4.959289415247964,770235847.88,18.608923884514436,1.9691135239772206,12.8310900116321,6.56364043125622,33.3249911653648,22.4330028483262,99.0,0.0,1.7093261315048414,3336.66,42.47,2026-08-31,6.52,,61.4,1.31,79.5,⚡ SAĞLAM BİLANÇO & AKIŞ,79.5
AKBNK,71.8,73.4,73.4,71.6,116086572.0,-1.9125683060109366,8335015869.599999,5.5937736157747535,1.1496807474269888,22.870526655457,1.90796879525192,30.344345166245734,21.828476630352352,99.0,0.0,0.8129022911148075,2216.13,1.78,2026-08-31,19.89,,5.0,-0.35,79.1,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),79.1
MTRKS,31.38,33.06,33.2,30.38,1799997.0,-5.081669691470064,56483905.86,10.880721220527045,2.4680541147212582,29.0178133186367,22.1808915617107,5.81278910052265,19.1041909746642,99.0,0.0,0.9406500069608217,2375.81,11.86,2026-08-31,11.76,,5.9,-0.11,78.8,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),0.0
AYGAZ,334.25,332.0,337.0,330.75,950456.0,1.6730038022813687,317689918.0,8.786641675889244,0.8737857808741848,11.7381928238,10.0547024716417,2.28684083742078,8.6129295251537,99.0,0.0,0.8193452003803386,2224.18,23.36,2026-08-31,13.43,,17.7,-0.33,78.7,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),78.7
GLYHO,16.81,16.81,18.64,16.74,6134768.0,-0.8259587020649002,103125450.08,5.612500417348335,1.9394624654594539,42.3132385624069,5.74928385989799,25.114672567759,18.7134511127326,99.0,0.0,2.0261804301484507,3732.73,5.94,2026-08-31,21.82,,5.0,1.9,78.5,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),78.5
LMKDC,23.34,24.38,24.4,23.18,3439422.0,-4.265791632485641,80276109.48,6.986977997305792,1.4318561616439232,24.3785937418548,19.7376934659124,31.515876496372,19.5114538263476,99.0,0.0,0.7731925772458709,2166.49,0.66,2026-08-31,17.03,,5.0,-0.42,77.8,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),77.8
YKBNK,36.42,37.36,37.4,36.34,169686821.0,-2.1493820526598526,6179994020.820001,5.557929434745453,1.073819962672815,21.7839579820642,1.5762608944669,23.07314202881721,16.368835639228283,99.0,0.0,0.8392985081785289,2249.12,3.77,2026-08-31,20.29,,5.0,-0.3,77.8,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),77.8
ISCTR,12.57,12.8,12.8,12.54,386120728.0,-1.7200938232994438,4853537550.96,4.626596488645148,0.6921120153288771,16.6794653165665,1.27475914284613,18.778934134786056,12.339758019312793,99.0,0.0,0.6190162487980073,1973.77,1.54,2026-08-31,24.1,,5.0,-0.7,77.8,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),77.8
SKBNK,6.24,6.85,6.89,6.2,160570317.0,-7.142857142857137,1001958778.08,4.8719550281074335,0.7113543091655267,16.2630100499565,1.38539385042168,16.110122208104936,14.68813407069008,99.0,0.0,0.9592539346370151,2399.07,4.75,2026-08-31,22.86,,5.0,-0.08,77.4,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),77.4
GRSEL,301.5,315.5,316.0,300.0,601954.0,-4.437400950871632,181489131.0,9.157787308491379,2.208718070288075,30.7526568418126,23.7094052246862,31.2189781485818,26.647434843880603,99.0,0.0,1.8143522614072551,3467.94,2.75,2026-08-31,13.92,,5.0,1.51,77.4,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),77.4
GEREL,37.88,38.64,38.9,36.22,6654349.0,-1.9668737060041357,252066740.12,22.9603588313735,3.4312961748475486,25.9052982329303,11.366380244885,22.1326650608602,20.8359372910996,99.0,0.0,1.0597457084500679,2524.68,26.69,2026-08-31,7.55,,25.3,0.11,77.1,⚡ SAĞLAM BİLANÇO & AKIŞ,77.1
AKGRT,6.24,6.34,6.39,6.23,9095926.0,-0.9523809523809462,56758578.24,4.383869607980891,1.1714306096320133,30.7936042243563,6.74689501699758,12.0483333480216,13.894474169163198,99.0,0.0,0.8306785604073633,2238.35,4.5,2026-08-31,26.29,,5.0,-0.31,77.0,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),77.0
AGESA,260.0,261.0,266.25,257.25,391208.0,-0.7633587786259541,101714080.0,6.715066802001091,3.6443838293082744,70.4502550027856,1.59624240365739,18.9630923870175,13.6232459107451,99.0,0.0,1.5604278484405614,3150.53,9.11,2026-08-31,19.33,,5.0,1.04,76.4,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),76.4
TUPRS,401.75,406.0,406.25,397.25,27477286.0,1.452020202020202,11038999650.5,11.146068288568726,1.6970483018175166,18.2096828624145,9.88171953059105,8.88236948377981,6.328835517370609,99.0,0.0,0.9201422798348017,2350.18,20.0,2026-08-31,10.73,,10.0,-0.15,76.4,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),76.4
ATATP,300.5,316.5,322.75,300.25,894735.0,-4.07023144453312,268867867.5,8.027504554707244,4.3905294890899365,46.0081011020881,27.0061447303634,22.4599174955514,82.8949837895199,99.0,0.0,0.4877347175801023,1809.67,7.38,2026-08-31,10.48,,5.0,-0.95,76.3,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),76.3
KRDMD,46.98,46.68,47.42,46.56,56363980.0,0.772200772200771,2647979780.3999996,11.725067385444742,0.49432738804163334,5.44820350665331,3.69047977903339,7.185412482501391,6.447400157349971,99.0,0.0,0.7812889551290872,2176.61,19.35,2026-08-31,11.02,,9.7,-0.4,76.2,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),76.2
BRYAT,1678.0,1703.0,1717.0,1670.0,49723.0,-1.698886936145284,83435194.0,10.738718905393037,1.407336876551336,14.3760330070077,13.579887366023,94.0380588001199,95.8616465622115,99.0,0.0,0.5957147546718614,1944.64,1.53,2026-08-31,10.22,,5.0,-0.75,76.2,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),76.2
TRGYO,95.85,97.0,97.75,95.5,1025851.0,-1.1855670103092841,98327818.35,10.64278655577886,0.6200843677022021,6.70791745653675,5.38110408275921,67.7229398008152,46.6373093192593,99.0,0.0,0.5921421596956524,1940.18,0.71,2026-08-31,10.82,,5.0,-0.75,76.0,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),76.0
TTKOM,51.2,53.6,53.65,50.95,30892237.0,-4.299065420560742,1581682534.4,6.329739887251508,0.6755771599501499,12.7278816331645,5.96506410922342,19.8303196972243,10.3424614081597,99.0,0.0,1.108238907052929,2585.3,2.81,2026-08-31,18.84,,5.0,0.2,75.7,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),75.7
TRENJ,106.9,107.4,108.1,106.0,874462.0,-1.2927054478300937,93479987.80000001,16.7342402279238,1.7517275983290257,12.7553176698714,3.06962883148888,32.7924852281578,7.13509131048801,99.0,0.0,0.3013867737189401,1576.73,16.0,2026-08-31,7.28,,8.0,-1.29,75.5,⚡ SAĞLAM BİLANÇO & AKIŞ,75.5
AKFYE,22.72,23.6,23.82,22.62,5195230.0,-3.647158608990668,118035625.6,10.670173296388484,0.38882404685055943,4.46642791828936,3.42851482482416,16.269488392457,40.7988589348677,99.0,0.0,0.6826344549999105,2053.29,3.33,2026-08-31,11.49,,5.0,-0.59,75.4,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),75.4
ORGE,23.7,24.18,25.0,23.56,7488973.0,-1.5780730897009927,177488660.1,11.002274731906596,1.8206834246363819,20.2060622539078,10.7088647397461,53.2416283790203,19.706293109426,99.0,0.0,0.8752447325276302,2294.06,2.56,2026-08-31,11.1,,5.0,-0.23,75.2,🏛️ BİLEŞİK BÜYÜME ŞAMPİYONU (COMPOUNDER),75.2
KTLEV,63.95,68.0,68.05,63.15,87619499.0,-7.318840579710141,5603266961.05,15.580080884860891,13.506007480575214,148.508364400309,49.0520321745141,86.0966472022146,60.5932443969746,99.0,0.0,0.846197523867989,2257.75,1.14,2026-08-31,11.0,,5.0,-0.28,74.8,⚡ SAĞLAM BİLANÇO & AKIŞ,74.8
TNZTP,31.98,32.5,32.5,29.04,8750213.0,-0.06249999999999867,279831811.74,23.664348083468997,1.3422892033022498,5.50175919999278,4.41805677316013,29.7292210289326,11.8796022610107,99.0,0.0,2.1109493774575836,3838.69,39.58,2026-08-31,4.1,,54.8,2.06,74.5,⚡ SAĞLAM BİLANÇO & AKIŞ,74.5
KRDMA,66.65,63.45,66.65,61.45,21345049.0,9.98349834983499,1422647515.8500001,16.63422182290107,0.7012967307998056,5.44820350665331,3.69047977903339,7.185412482501391,6.447400157349971,99.0,0.0,1.5737694574082994,3167.21,48.0,2026-08-31,7.77,,74.0,1.06,74.5,⚡ SAĞLAM BİLANÇO & AKIŞ,74.5
THYAO,302.5,305.5,306.5,302.5,29016972.0,-1.6260162601626018,8777634030.0,3.7091715243530103,0.4075914575944812,12.6578146267628,5.58531993761691,3.01702862239019,9.89479075147571,99.0,0.0,0.6269076755565147,1983.63,8.0,2026-08-31,31.06,,5.0,-0.69,74.4,⚡ SAĞLAM BİLANÇO & AKIŞ,74.4
KATMR,2.06,2.12,2.13,2.05,33135151.0,-2.8301886792452855,68258411.06,8.695652173913043,0.42244191936280995,5.30778394831394,3.70984193832328,13.536275822287799,18.5412369503186,99.0,0.0,0.3916343427777668,1689.54,1.0,2026-08-31,12.56,,5.0,-1.13,74.3,⚡ SAĞLAM BİLANÇO & AKIŞ,74.3
TCKRC,147.6,159.0,160.8,147.6,4789741.0,-10.000000000000004,706965771.6,13.23090438072017,3.448752841248953,34.2345615681693,25.3208202731693,38.4863018793086,35.4117327583083,99.0,0.0,1.8557769469508905,3519.72,8.0,2026-08-31,9.93,,5.0,1.58,73.3,⚡ SAĞLAM BİLANÇO & AKIŞ,73.3
AKSA,10.71,11.02,11.02,10.67,18361647.0,-2.8130671506351974,195924222.5,7.185508218718551,1.1357382139323584,18.2911638761343,9.34320154454749,6.62308923966929,14.840815633623599,99.0,0.0,0.9802900805373098,2425.36,1.6,2026-08-31,16.11,,5.0,-0.04,72.9,⚡ SAĞLAM BİLANÇO & AKIŞ,72.9
GUBRF,484.75,496.0,496.75,471.25,3135520.0,-2.6117528879959817,1519943320.0,21.46003497354849,4.5456813073707645,23.5062247678353,10.8055598366414,19.4438930022115,11.3445982468947,99.0,0.0,0.693092122750463,2066.37,21.65,2026-08-31,5.17,,13.8,-0.57,72.7,⚡ SAĞLAM BİLANÇO & AKIŞ,72.7
YEOTK,34.34,35.34,35.98,34.0,11190864.0,-2.8296547821165814,384294269.76000005,12.799582541279959,5.176676314520019,58.2232370664055,10.3199768734383,22.4211603094772,11.2541842940668,99.0,0.0,0.5475670623551807,1884.46,1.62,2026-08-31,11.25,,5.0,-0.84,71.9,⚡ SAĞLAM BİLANÇO & AKIŞ,71.9
LINK,5.44,5.68,5.75,5.42,12124313.0,-4.393673110720562,65956262.720000006,12.75797373358349,2.2481754238058635,21.8633290097379,17.6254325606452,23.735256268511,25.9376506113085,99.0,0.0,0.7926543912488433,2190.82,4.61,2026-08-31,9.72,,5.0,-0.38,71.6,⚡ SAĞLAM BİLANÇO & AKIŞ,71.6
CCOLA,76.05,77.9,78.05,75.9,4527142.0,-2.060528010302651,342681311.35,10.271474878444083,2.3237040422978303,26.9016013150558,9.79030447677056,15.7949548875229,9.68943526106589,99.0,0.0,0.6891018888163107,2061.38,4.09,2026-08-31,11.58,,5.0,-0.58,71.4,⚡ SAĞLAM BİLANÇO & AKIŞ,71.4
PEKGY,15.75,15.75,15.75,15.75,10405179.0,-10.0,163881569.25,44.031311154598825,9.480812641083523,19.442707708089,8.04691207358538,59.2708694960706,109.91168900700498,99.0,0.0,0.0624534316915207,1278.07,20.0,2026-08-31,2.05,,10.0,-1.73,71.4,⚡ SAĞLAM BİLANÇO & AKIŞ,71.4
TBORG,159.7,161.0,163.5,157.6,435223.0,1.3968253968253896,69505113.1,16.374448887521787,1.7257713641471593,11.9764410664178,5.98039434802604,15.581590617698698,6.844440840975639,99.0,0.0,0.8374322436321858,2246.79,11.93,2026-08-31,6.94,,6.0,-0.3,71.4,⚡ SAĞLAM BİLANÇO & AKIŞ,71.4
PETUN,11.98,11.48,12.69,11.36,16387667.0,3.812824956672455,196324250.66,14.263602809858318,0.3232552178195114,2.66608055419571,1.5744835102621,8.52201489095237,2.17082156236283,99.0,0.0,9.104757171169807,12580.95,18.11,2026-08-31,8.25,,9.1,5.0,71.1,⚡ SAĞLAM BİLANÇO & AKIŞ,71.1
HALKB,43.46,45.8,46.68,41.94,156716786.0,-5.726681127982648,6810911519.56,9.696780383319574,1.3305383659482597,15.2318624552132,0.730553352787459,11.16581345781585,12.922510537824053,99.0,0.0,5.800580659951503,8450.73,9.96,2026-08-31,11.45,,5.0,5.0,70.9,⚡ SAĞLAM BİLANÇO & AKIŞ,70.9
TRALT,52.7,52.6,53.4,52.3,42059449.0,-2.3169601482854496,2216532962.3,33.654767226515105,3.100822630003607,11.2503473841185,9.91646974805888,35.4338201336874,22.2068454595426,99.0,0.0,0.36613851593598223,1657.67,12.36,2026-08-31,3.63,,6.2,-1.17,70.8,⚡ SAĞLAM BİLANÇO & AKIŞ,70.8
ULKER,90.0,92.0,92.0,89.75,4440964.0,-2.0674646354733466,399686760.0,7.6913216254326375,0.6513887064397373,9.91775211995781,3.25454957677194,11.4466738681373,3.6841253476050406,99.0,0.0,0.4303387248658854,1737.92,1.78,2026-08-31,15.23,,5.0,-1.05,70.7,⚡ SAĞLAM BİLANÇO & AKIŞ,70.7
BRKVY,85.45,87.2,89.95,85.15,781440.0,0.5294117647058857,66774048.0,14.689197552086917,3.2667557426278173,24.9595404187976,11.8620442299698,49.3349726835545,17.8521967656456,99.0,0.0,1.1973341296765694,2696.67,4.5,2026-08-31,7.64,,5.0,0.37,70.5,⚡ SAĞLAM BİLANÇO & AKIŞ,70.5
OZSUB,43.78,44.7,44.74,43.5,2074729.0,-1.8385650224215253,90831635.62,12.16144892913692,3.696283369342124,41.5311324649096,14.3360598652116,12.0956408443172,14.504125000951202,99.0,0.0,0.5497109599922421,1887.14,4.65,2026-08-31,11.24,,5.0,-0.83,70.2,⚡ SAĞLAM BİLANÇO & AKIŞ,70.2
RALYH,266.25,265.75,269.5,264.0,1354388.0,0.18814675446848542,360605805.0,34.48700180044817,10.518410477561513,39.0893651880271,17.3695994801366,16.4807835113273,30.164593253519,99.0,0.0,0.5858778482312024,1932.35,14.91,2026-08-31,3.72,,7.5,-0.77,69.7,⚡ SAĞLAM BİLANÇO & AKIŞ,69.7
TCELL,94.55,103.5,103.5,93.5,83703565.0,-8.647342995169085,7914172070.75,10.618942261256302,0.6719531720773643,7.34275858908705,3.47835187976937,15.2882288928222,7.19780150763797,99.0,0.0,2.8861317991360718,4807.66,2.12,2026-08-31,10.93,,5.0,3.49,69.5,⚡ SAĞLAM BİLANÇO & AKIŞ,69.5
ENKAI,87.1,89.55,89.8,86.8,13604515.0,-2.134831460674164,1184953256.5,13.084364859992789,1.2768654843468898,10.5694649038713,8.00935189734229,15.3714312833788,22.0835733496102,99.0,0.0,0.5912498902422043,1939.06,2.4,2026-08-31,8.28,,5.0,-0.76,69.5,⚡ SAĞLAM BİLANÇO & AKIŞ,69.5
